cgpa,backlogs,college_tier,country,university_ranking_band,internship_count,aptitude_score,communication_score,specialization,industry,internship_quality_score,placement_status
6.510693011,2,Tier 3,UK,100-300,5,56.59731662,80.05995173,AI/ML,Consulting,3.725741649,Not Placed
6.550026579,0,Tier 2,UK,300+,2,81.90243372,80.00742906,Cloud,Healthcare,3.848415629,Placed
6.710620931,1,Tier 2,UK,100-300,2,77.77319033,73.65095095,Data Science,Healthcare,3.091841897,Placed
5.840283824,3,Tier 3,Germany,Top 100,2,86.23576139,65.77639988,Data Science,Healthcare,1.69093878,Not Placed
6.290006258,0,Tier 2,UK,300+,1,64.65131379,67.78067119,AI/ML,Healthcare,6.718113312,Not Placed
8.012566273,1,Tier 3,India,Top 100,1,53.0121182,65.56867931,Core CS,Tech,8.410631953,Placed
8.225904306,1,Tier 2,Canada,300+,0,84.49271242,85.71062902,AI/ML,Manufacturing,5.656278244,Placed
5.382561088,2,Tier 1,UK,300+,2,85.87676296,69.09710264,Data Science,Tech,4.611959649,Not Placed
6.428255458,1,Tier 2,UK,300+,1,82.479485,88.81255598,Cybersecurity,Healthcare,4.593729876,Placed
6.827231584,0,Tier 1,USA,100-300,2,62.43284916,77.77924107,Core CS,Consulting,5.423252546,Placed
6.786290011,0,Tier 3,India,Top 100,1,100.0,87.15385891,Cloud,Other,4.259132199,Placed
6.910522317,3,Tier 2,UK,100-300,0,98.98179749,76.699887,AI/ML,Consulting,1.694544579,Not Placed
7.024381131,2,Tier 3,India,100-300,2,69.3748844,49.84405018,Core CS,Other,4.930134742,Placed
7.878787901,1,Tier 2,India,300+,1,46.12719793,54.24453136,Cybersecurity,Finance,3.873737161,Placed
6.733210975,1,Tier 2,Canada,Top 100,4,70.1820988,55.3006031,Cloud,Other,6.052785323,Placed
5.968399944,2,Tier 2,USA,Top 100,1,59.42014801,59.40546184,Cloud,Consulting,4.80351273,Not Placed
7.169117254,1,Tier 1,India,100-300,1,67.07340796,39.86024377,Cloud,Consulting,5.609547572,Not Placed
7.157852566,2,Tier 1,Germany,100-300,0,67.07343019,76.2500732,Cloud,Tech,4.519600217,Not Placed
6.572194663,1,Tier 1,India,300+,1,86.63492721,65.2168824,Cybersecurity,Consulting,3.45566043,Not Placed
6.79296315,0,Tier 1,Germany,Top 100,2,78.28171574,66.28678341,Cloud,Other,5.81630494,Placed
